UBR,LDB,LDF,FDL,FDR,RUB,RDF,RDB,BUR,BDL,BDR,DBL,DBR,DFL,DFR
,"R D' R', U","U: R' D R, U","D': R D' R', U","D: R D R', U",,"U: R' D' R, U","R D R', U",,"D': R D R', U","D R D' R', U","U: U' R U R', B2","R D' R' U R' D R, U","R D R': R' U R, D'","R' D R: R D' R', U"
"U, R D' R'",,"D' R' D': R D R', U","D2: R' U R, D",R: {U/R D' R'},"U R U': D', R' U R",{D/R' U R},R: {D/R' U R},R': {U/R D' R'},,"R' U R, D'",,"R D' R' U: R' D R, U","U D' R': B2, R U' R' U","R': R' U R, D'"
"U: U, R' D R","D' R' D': U, R D R'",,,"R U2 R', D","D' R U: R' U' R, D'",U R': {D'/R U R'},U': {D'/R U' R'},"R': U2, R' D R","U' D2: R U' R', D'","R' U2: R' D R, U'",D' R U: {D/R' U' R},"U' R: R U' R', D",,R' D R: {U'/R D' R'}
"D': U, R D' R'","D': R' U R, D'",,,"U' R D: U', R' D' R","D' U R U': D', R' U R","D: R' U R, D","R D: R' U R, D",R' D': {U/R D' R'},D' R: {D/R' U R},"R' U R, D2",D' R2: {U/R D' R'},"D' R': R' U R, D'",,"R': R' U R, D2"
"D: U, R D R'",R: {U'/R D' R'},"D, R U2 R'","U' R D: R' D' R, U'",,R: {U'/R D R'},,"D', R U2 R'","D' R': U2, R' D R",U: {D'/R' U' R},D R: {D'/R' U R},"U D R': U, R' D R","U' R D': R' D R, U'",U R' U: {D/R U' R'},
,"U R U': R' U R, D'","D' R U: D', R' U R","D' U R U': R' U R, D'",R: {U/R D R'},,"R' U R: D', R U' R'","U R U': R' U R, D",,"R U: D', R' U' R","U D R U': R' U R, D'","D' R U: D, R' U R","R U: D, R' U R","U R' U: D, R U' R'","D R U: D, R' U' R"
"U2: R' D' R, U'",{D'/R' U R},U R': {D/R U R'},"D2: R' U R, D'",,"R' U R: R U' R', D'",,"U R U': R' U' R, D",R': {U/R D R'},"U R' D2: R U R', D","R' U R, D","D2 R': R' U R, D'","R U' D' R': R' D R, U'","F': R' D' R, U2",
"U, R D R'",R: {D'/R' U R},U': {D/R U' R'},"R D2: R' U R, D'","R U2 R', D'","U R U': D, R' U R","U R U': D, R' U R",,D R' D': {U/R D R'},"U: D', R' U' R",,"U R': U, R' D2 R",,"U R': U, R' D R","R U R' D': R' D' R, U'"
,R': {U'/R D' R'},"R': R' D R, U2",R' D': {U'/R D' R'},"D' R': R' D R, U2",,R': {U'/R D R'},D R' D': {U'/R D R'},,R' D': {U'/R D R'},D' R': {U'/R D' R'},"R D': B2, D R' D' R","D R D': B2, D R' D' R",D R' D: {U'/R D' R'},R' D: {U'/R D' R'}
"D': U, R D R'",,"U' D: R U' R', D",D' R: {D'/R' U R},U: {D/R' U' R},"R U: R' U' R, D'","U R' D': R U R', D'","U: R' U' R, D'",R' D': {U/R D R'},,"L, U R' U'",,R U: {D/R' U' R},"U D R' D R: U', R D' R'","U D' R': U, R' D R"
"D': U, R D' R'","D', R' U R","R' U: R' D R, U","D2, R' U R",D R: {D/R' U R},"D U R U': D', R' U R","D, R' U R",,D' R': {U/R D' R'},"U R' U', L",,"U R': B2, R U' R' U",,"D R': R' U R, D'","R' D: R D' R', U"
"U: B2, U' R U R'",,D' R U: {D'/R' U' R},D' R2: {U'/R D' R'},"U D R': R' D R, U","D' R U: R' U' R, D","D2 R': D', R' U R","U R': R' D2 R,  U","D' R: B2, R' D R D'",,"R' U: B2, U' R U R'",,"R U D R': R' D R, U","D R U R': R' D R, U'","R U D R': R' D R, U'"
"U, R D' R' U R' D R","R D' R' U2: R' D R, U'","U' R: D, R U' R'","D' R': D', R' U R","U' R D': U', R' D R","R U: R' U' R, D","R U' D' R': U', R' D R",,"R: B2, R' D R D'",R U: {D'/R' U R},,"R U D R': U, R' D R",,"D' R U D R': U', R' D R","D' R U R': U', R' D R"
"R D R': D', R' U R","D' R' U: B2, U' R U R'",,,U R' U: {D'/R U' R'},"U R' U: R U' R', D","F': U2, R' D' R","U R': R' D R, U",D R' D: {U/R D' R'},"U D R' D R: R D' R', U'","D R': D', R' U R","D R U R': U', R' D R","D' R U D R': R' D R, U'",,"R U R': R' D R, U'"
"R' D R: U, R D' R'","R': D', R' U R",R' D R: {U/R D' R'},"R': D2, R' U R",,"D R U: R' U' R, D",,"R U R' D': U', R' D' R",R' D: {U/R D' R'},"U' D' R': R' D R, U","R' D: U, R D' R'","R U D R': U', R' D R","D' R U R': R' D R, U'","R U R': U', R' D R",
