UBL,UBR,LUB,LDB,LDF,FDL,FDR,RUB,RDF,RDB,BUL,BUR,BDL,BDR,DBL,DBR,DFL,DFR
,"R D R' U: R D' R', U",,"U: R D' R', U","U2: R' D R, U","D U2: R' D' R, U","U2D': R' D R, U","R' F R, B'","U2: R' D' R, U","U: R D R', U",,l: {U/R' D R},"U D': R D R', U","D' U: R D R', U","U' R' D' R: D, R U' R'","U' R D' R': U', R' D R","U R D R': R' U R, D'","U R' D R: R D' R', U"
"R D R' U2: R D' R', U'",,U R' D: {U/R D R'},"R D' R', U2",{U/R' D R},D: {U/R' D' R},D': {U/R' D R},,{U/R' D' R},"R D R', U2",l D: {U'/R' D R},,D: {U/R' D R},D': {U/R' D' R},R' B R: {U/R' D' R},"U R D' R': R' D R, U2","R U D R': R' U R, D'","R' D R: R D' R', U2"
,U R' D: {U'/R D R'},,U R': {U'/R D' R'},"U R': R' D R, U2",U' R: {U'/R' D R},"D' U R': R' D R, U2",R2 U R': {U'/R D R'},U R': {U'/R D R'},R U R': {U'/R D R'},,"U R': R' D R', U2","U D R': R' D R, U2",U' R: {U'/R' D' R},"U' R: U2, R D' R'","U' D R: U2, R D' R'","U' D' R: U2, R D' R'",R' U' R: {U'/R' D' R}
"U2: R D' R', U'","U2, R D' R'",U R': {U/R D' R'},,"D R D: U', R' D' R","D U': R U R', D ","R U2: R D' R', U2","U R: U, R D' R'","U' R U R', D2",R U: {D/R' U R},"U2 R U': D', R' U R","R' U2: R D' R', U",,"R' U2 R, D",,"U' R D' R': U, R' D R",D R' U': {D'/R U R'},"U R': R' U R, D'"
"U': R' D R, U'",{U'/R' D R},"U R': U2, R' D R","D R D: R' D' R, U'",,,"R U' R', D",R: {D'/R U' R'},"R' D': R U' R', D2",{D'/R U' R'},"U' R' U': D, R U R'","R': U', R' D R","D2: R U' R', D'",R': {U'/R' D R},"U' D R: F2, R' U R U'","R: R U' R', D",,"D R D': U', R' D R"
"D U': R' D' R, U'",D: {U'/R' D' R},U' R: {U/R' D R},,,,"R D: U', R' D' R","R2 U': R U R', D","U': R U R', D","R U': R U R', D","U D' R' U': D', R U R'","R' D: U', R' D' R",D R': {D/R U' R'},U': {D'/R U R'},"U' D R D: R' D' R, U","U' D R: U', R D' R'",,R' U': {D'/R U R'}
"D' U': R' D R, U'",D': {U'/R' D R},"U D' R': U2, R' D R","R U': R D' R', U'","D, R U' R'","R D: R' D' R, U'",,"R U': R D R', U'",,"D', R U' R'","R U' R': U', R' D' R","D' R': U', R' D R","D2, R U' R'",D' R': {D'/R U' R'},"D' R: R U' R', D","R D': R' D R, U'","U' R: F2, R' U R U'",
"B', R' F R",,R2 U R': {U/R D R'},"U R: R D' R', U",R: {D/R U' R'},"R2 U': D, R U R'","R U2: R D R', U",,"U' R': D, R' U R","U' R' U: R' D' R, U","F R' F', L",,"l' U: R' D R, U","U D R: R D' R', U ","D' R: R U' R', D'","R: R U' R', D'","U2 R': U', R' D R","D R: R U' R', D'"
"U': R' D' R, U'",{U'/R' D' R},U R': {U/R D R'},"D2, U' R U R'",R': {D/R U' R'},"U': D, R U R'",,"U' R': R' U R, D",,"U' R' U: D', R U R'","U' R' U': D', R U R'","R' U': R D R', U'","R' D2: R U' R', D","D', U' R U R'","U' R: U', R D' R'",F: {D'/R U R'},"U' R D: R' D' R, U",
"U2: R D R', U'","U2, R D R'",R U R': {U/R D R'},R U: {D'/R' U R},{D/R U' R'},"R U': D, R U R'","R U' R', D'","U' R' U2: R' D' R, U'","U' R' U: R U R', D'",,"L', U R' U'","D2 R': U', R' D R","D2: R U' R', D",,"D' R D': R' D R, U'",,"U2 R': U, R' D R","U' D' R: F2, R' U R U'"
,l D: {U/R' D' R},,"U2 R U': R' U R, D'","U' R' U': R U R', D","D U' R' U': R U R', D'","R U' R': R' D' R, U'","L, F R' F'","U' R' U': R U R', D'","U R' U', L'",,"U R U', L'","U R U: D', R' U R","U' D' R' U': R U R', D'","U D' R U: D, R' U' R","U R U: D, R' U R","U2 R' U: D, R U' R'","U D R U: D, R' U R"
l: {U'/R' D R},,"U R': U2, R' D' R","R' U': R D' R', U'","R': R' D R, U'","R' D: R' D' R, U'","D' R: R' D R, U'",,"R' U': R D R', U'","D2 R': R' D R, U'","L', U R U'",,"D R': R' D R, U'","D R' U': R D' R', U'","U' R: U, R D' R'","R' U' R: R D R', U","D' U' R: U, R D' R'","R' D': R' D' R, U'"
