UL,LU,LB,LF,LD,FL,FR,FD,RF,RB,RD,BL,BR,BD,DB,DL,DR,DF
,,"U2, R E' R'","U2, R' E R","L E L', U2","U2, R E2 R'","L' E2 L, U2",M: {U'/M},"L E' L', U2","L' E L, U2","U2, R' E' R","U2, R' E2 R","L E2 L', U2",M': {U/M'},{U'/M},"S', L2","R2, S",{U/M'}
,,"L, U' M U","L', U M' U'","D: S, R' F' R","S, R' F2 R","U M U', R","S, R' F' R","L F2' L', S'","U2: R', U M U'","D': S, R' F' R","S, R B2 R'","U M U', R'","S, R B R'","L' B' L, S'","D: L F L', S'","D': L F L', S'","L F L', S'"
"R E' R', U2","U' M U, L",,u' R' U: {R'/E'},"D r: E', R' U' R","L' U2 L, E","u R': U', R' E R","r: E', R' U' R",u R U': {R'/E},E': {L'/S'},"S, R' B2 R",,"U: R' U' R, E'","M: R E' R', U","l: l F' l', S'","U u: {L, E}",E: {R/E},"L: L F L', S'"
"R' E R, U2","U M' U, L'",S: {L'/S},,"l', E R' E'",,"U': R U R', E","M': R' E R, U'",E': {L/S'},u' R' U: {R/E'},"R F2 R', S","L U2 L', E'","U R': U', R' E R","r': E, R U R'","l': S, R' F' R",U' u': {L'/E'},E': {R'/E'},"F, L' S' L"
"U2, L E L'","D: R' F' R, S","D r: R' U' R, E'","E R' E', l'",,"l': R' E R, U2","D: U M' U', R","l': R' E R, U'",U M' U': {L/E'},"U L F': L2, E",U L F': {L/S},"l: R E' R', U2","D: U M' U', R'","l: R E' R', U",D L F: {L'/S'},,"U: S, L' F' L","U L F: L2, E'"
"R E2 R', U2","R' F2 R, S","E, L' U2 L",,"l': U2, R' E R",,U R' U': {R/E},"U2: L', U' M' U","E', L' U2 L","u' L: U', L E' L'","R' F2 R, S'",{L/S'},U R U': {R/E},l': {U/M'},D': {R/E},u2: {L/E},{R/E},D: {R/E}
"U2, L' E2' L","U' M' U, R","u R': U', R' E R","u': R U R', E'","D: R, U M' U'",U R' U': {R'/E},,"R, U M' U'","E', L' U2 L","u: R U' R', E","R u': R' U R, E",U R' U': {R/E'},U2: {R/S},"R, U' M U","R, U M2 U'",U2: {L'/E'},E2: {R'/E'},"R, U' M2 U"
M: {U/M},"R' F' R, S","M': U', R E' R'","M': U', R' E R","l': U', R' E R","U: M', U L' U'","U M' U', R",,"l' U: l E' l', U","l' U: l' E l, U","R' F' R, S'",l: {U/M},"U M' U', R'",M U' M' U2 M' U M,"r: M', U' R' U",L F: {L'/S'},S': {U/M'},
"U2, L E' L'","S', L F2 L'",u R U': {R/E},E': {L'/S'},U M' U': {L'/E'},"L' U2 L, E'",,"l' U2: l E' l', U'",,S': {R/S},"S, U R' U'","u' R': R' E R, U","U': R' U R, E","l U2: l E' l', U",r' u: {R/E},U' u': {L/E},E': {R/E},"L F: L' S' L, F"
"U2, L' E L","S', L' B2 L",E: {L/S'},u' R' U: {R'/E'},"U L F': E, L2","u' L: L E' L', U'","U: R U' R', E'","l' U2: l' E l, U'",S': {R'/S},,"S, U' R U","L U2 L', E",,"l U2: l' E l, U","r' U2: L E' L', U",U u: {L'/E'},E: {R'/E'},f': {R'/S}
"R' E' R, U2","D': R' F' R, S","R' B2 R, S","R F2 R', S",U R' F: {R'/S'},"S', R' F2 R","R u': R' U R, E'","S', R' F' R","U R' U', S","U' R U, S",,"S', R B2 R'","R' u: R U' R', E","S', R B R'","R' B R, S","U: S', R F R'",,"R F' R', S"
"R' E2 R, U2","R B2 R', S",,"E', L U2 L'","l': U2, R E' R'",{L/S'},U R' U': {R'/E'},l: {U'/M},"u' R': U, R' E R","L' U2 L, E'","R B2 R', S'",,U R U': {R'/E'},"U2: L, U M U'",D': {R'/E'},u2: {L'/E'},{R'/E'},D: {R'/E'}
"U2, L E2' L'","R', U' M' U","u: R' U' R, E","U R': U', R' E R","D: R', U M' U'",U R U': {R'/E},U2: {R'/S},"R', U M' U'","u': R' U R, E'",,"R' U': R U R', E'",U R U': {R/E'},,"R', U' M U","R', U M2 U'",U2: {L/E},E2: {R/E},"R', U' M2 U"
M': {U'/M'},"R B R', S","M: U, R E' R'","M: U, R' E R","l: U, R E' R'",l': {U'/M'},"U' M U, R",M' U M U2 M U' M' U2,"l U': l E' l', U'","l U': l' E l, U'","R B R', S'","U': M, U' L U","U' M U, R'",,,r' U': {L/E'},S': {U'/M},"U D': S', R F R'"
{U/M},"S', L' B' L","l: S', l F' l'","l': R' F' R, S",D L F: {L/S'},D': {R'/E},"U M2 U', R","r: U' R' U, M'",r' u: {R'/E},"r' U2: L E' L', U","S, R' B R",D': {R/E'},"U M2 U', R'",,,L2: {U/M},R D: {R'/S'},u' M' u2 M' u'
"L2, S'","D: S', L F L'",U u: {L'/E},U' u': {L/E'},,u2: {L'/E},U2: {L/E'},L F: {L/S'},U' u': {L'/E},U u: {L/E'},"U: R F R', S'",u2: {L/E'},U2: {L'/E},r' U': {L'/E'},L2: {U'/M},,"S', R2",L2: {U/M'}
"S, R2","D': S', L F L'",E: {R'/E},E': {R'/E'},"U: L' F' L, S",{R'/E},E2: {R/E'},S': {U'/M'},E': {R'/E},E: {R/E'},,{R/E'},E2': {R'/E},S': {U/M},R D: {R/S'},"R2, S",,R D': {R/S'}
{U'/M'},"S', L F L'","L: S', L F L'","L' S' L, F","U L F: E', L2",D: {R'/E},"U' M2 U, R",,"L F2: L' S' L, F'","f' R: S, R2","S, R F' R'",D: {R/E'},"U' M2 U, R'","U D': R F R', S'","D: R2, S'",L2: {U'/M'},R D': {R'/S'},
